code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.09626,2021-09-21 00:00:00,546.0,562.0,562.5,534.0,0.0,0.0019,729715,401205321.0,-0.5309734513274336,565.0
HK.09626,2021-09-23 00:00:00,578.5,582.0,600.0,578.0,0.0,0.00115,441554,258513276.0,3.558718861209965,562.0
HK.09626,2021-09-24 00:00:00,582.0,573.0,588.0,570.0,0.0,0.00067,257564,148872773.0,-1.5463917525773196,582.0
HK.09626,2021-09-27 00:00:00,563.0,544.5,576.5,539.0,0.0,0.00268,1030719,569257504.0,-4.973821989528796,573.0
HK.09626,2021-09-28 00:00:00,551.0,566.5,573.0,551.0,0.0,0.00149,574313,325030337.0,4.040404040404041,544.5
HK.09626,2021-09-29 00:00:00,524.5,521.0,524.5,508.0,0.0,0.00397,1524730,786215970.0,-8.031774051191528,566.5
HK.09626,2021-09-30 00:00:00,500.5,507.0,513.0,500.5,0.0,0.0022,845667,428344791.0,-2.6871401151631478,521.0
HK.09626,2021-10-04 00:00:00,508.0,499.8,516.0,497.6,0.0,0.00116,446214,225295623.0,-1.420118343195264,507.0
HK.09626,2021-10-05 00:00:00,481.0,486.8,491.0,471.0,0.0,0.00145,556444,268312033.0,-2.6010404161664664,499.8
HK.09626,2021-10-06 00:00:00,500.0,490.0,501.0,488.8,0.0,0.0009,346009,170189503.0,0.6573541495480667,486.8
HK.09626,2021-10-07 00:00:00,503.0,524.5,531.0,503.0,0.0,0.00233,893752,466080960.0,7.040816326530612,490.0
HK.09626,2021-10-08 00:00:00,546.0,542.5,555.0,535.0,0.0,0.00185,709319,387454262.0,3.4318398474737846,524.5
HK.09626,2021-10-11 00:00:00,555.0,568.5,577.0,555.0,0.0,0.00191,733658,416866278.0,4.7926267281106,542.5
HK.09626,2021-10-12 00:00:00,550.0,541.0,556.5,528.5,0.0,0.00122,468520,253568131.0,-4.8372911169744945,568.5
HK.09626,2021-10-15 00:00:00,544.0,550.0,555.0,535.5,0.0,0.00105,401691,220140724.0,1.6635859519408502,541.0
HK.09626,2021-10-18 00:00:00,550.0,537.0,550.0,519.0,0.0,0.00241,925120,487145579.0,-2.3636363636363638,550.0
HK.09626,2021-10-19 00:00:00,585.0,601.5,607.5,575.5,0.0,0.00281,1080962,646864214.0,12.011173184357542,537.0
